id,ident,type,name,latitude_deg,longitude_deg,scheduled_service
14020,79ND,closed,Reimers Airport,47.323298,-99.001198,no
14083,7CO4,closed,Williams Ranch Airport,40.604198,-103.939003,no
14093,7F2,closed,Dupree Municipal Airport,45.045739,-101.605696,no
14126,7GE1,closed,Davison Ranch Airport,43.658199,-116.750999,no
14145,7IL2,closed,O John Clark Restricted Landing Area,42.36840057,-87.99169922,no
14152,7IL9,closed,Ambler - Cady Airport,41.5439,-88.9934,no
14229,7MI4,closed,Ludington Airport,43.922199,-82.748595,no
14268,7NC0,closed,Pamlico Airport,35.158501,-76.762703,no
14355,7PA6,closed,Stott Private Airport,40.245398,-74.9913,no
14356,7PA7,closed,One Montgomery Plaza Heliport,40.115687,-75.34437,no
14388,7TA6,closed,Phi Heliport,28.439699,-96.434998,no
14415,7TS3,closed,Wyatt Airport,29.9599,-97.985298,no
14419,7TS7,closed,Broussard Farm Airport,29.9111,-94.339103,no
14421,7TS9,closed,Ag Aviation Airport,29.0541,-95.962502,no
14440,7VA6,closed,Clover Project Landing Zone Heliport,36.871799,-78.713303,no
14454,7WA6,closed,Prosser Hospital Heliport,46.208199,-119.764,no
14465,7WI7,closed,Charlies Airport,45.158901,-90.1493,no
14504,80OK,closed,Flying S Ranch Airport,35.576698,-99.8862,no
14526,81FL,closed,Cox's Hammock Airport,27.071699,-80.520102,no
14531,81KY,closed,Hi Rise Farm Airport,38.5783,-85.017502,no
14551,81TS,closed,Dibrell Airport,31.4438,-95.275497,no
14552,81TX,closed,La Leona Airport,29.3433,-103.565001,no
14557,82AK,closed,Jim's Landing Airport,61.6166,-149.190991,no
14561,82D,closed,Weiker Airport,41.229198,-83.029099,no
14582,82TE,closed,Tarry Bank Airport,29.691602,-98.707498,no
14604,83LA,closed,Ledet Airfield,29.5555,-90.329498,no
14621,83R,closed,Glen Beicker Ranch Airport,29.52939987,-97.78829956,no
14643,84KY,closed,Greene County Parachute Center Airport,37.8153,-85.540002,no
45512,84MT,closed,Shimmon Airport,46.280813,-114.050214,no
14701,85TA,closed,J-Bar Ranch Airport,33.579899,-96.812401,no
14747,87CA,closed,Swanson Ranch Nr 1 Airport,36.399899,-119.617995,no
14759,87LA,closed,Lafayette Hilton Heliport,30.196,-92.0153,no
